iter	Logloss
0	0.6865178197
1	0.6799167812
2	0.6731849393
3	0.6665015948
4	0.6608266691
5	0.6547522114
6	0.649448828
7	0.64373452
8	0.6376989947
9	0.6321389921
10	0.626622455
11	0.6212332705
12	0.6161104107
13	0.6116032094
14	0.6066233726
15	0.6020315618
16	0.5972956099
17	0.5926739572
18	0.5883250889
19	0.5838180801
20	0.5797782932
21	0.5754413003
22	0.5713069251
23	0.5676039626
24	0.5643293721
25	0.5605456208
26	0.5569103731
27	0.5533374581
28	0.5499461956
29	0.5466218044
30	0.5432302472
31	0.5398471779
32	0.5374386313
33	0.5341646535
34	0.5311306211
35	0.5284284066
36	0.5258258755
37	0.5232057657
38	0.5205568158
39	0.517874089
40	0.5154582451
41	0.5127737777
42	0.5105812251
43	0.5089245407
44	0.50672679
45	0.5046535962
46	0.5023801988
47	0.5001813608
48	0.4985124384
49	0.4965708557
50	0.4946358387
51	0.4929508305
52	0.4910278612
53	0.4895968089
54	0.4882458871
55	0.4864723381
56	0.4849035037
57	0.4831272629
58	0.4814717657
59	0.4800092037
60	0.4786826735
61	0.4774258473
62	0.4762592652
63	0.474979896
64	0.4736163541
65	0.472268975
66	0.4710516474
67	0.4696703717
68	0.4684321191
69	0.4671978145
70	0.4661027378
71	0.4648534606
72	0.4636370638
73	0.4624362027
74	0.4612206598
75	0.4601872278
76	0.4590748257
77	0.458084574
78	0.4569018991
79	0.4558319891
80	0.4548409175
81	0.4536584226
82	0.4525537238
83	0.451548095
84	0.4506997072
85	0.4501513003
86	0.4492546534
87	0.4484071073
88	0.4475604379
89	0.4466427875
90	0.4457293845
91	0.444964876
92	0.4442935216
93	0.4434656026
94	0.4425153858
95	0.4417030042
96	0.4409498853
97	0.4400284608
98	0.4391775724
99	0.438476993
100	0.4377138911
101	0.4370162537
102	0.4362561321
103	0.4354698616
104	0.4348858875
105	0.434583255
106	0.4339487901
107	0.4331874304
108	0.4325338385
109	0.4317477866
110	0.4311337853
111	0.4305400101
112	0.4300296593
113	0.4295042632
114	0.4290091367
115	0.4284749348
116	0.4277848652
117	0.4272384039
118	0.4268920424
119	0.4263106978
120	0.4256129629
121	0.4251689673
122	0.4246476369
123	0.4241328765
124	0.4236888511
125	0.4232213783
126	0.4229335715
127	0.4225863859
128	0.4221270519
129	0.4216184413
130	0.4212118282
131	0.420788833
132	0.420294119
133	0.4201107537
134	0.4196631363
135	0.4191377907
136	0.4186733548
137	0.4182397017
138	0.4179884472
139	0.4176265837
140	0.4172722892
141	0.4168242706
142	0.4165766048
143	0.4161956367
144	0.4158763322
145	0.4155368324
146	0.4149716419
147	0.4147070203
148	0.4142119596
149	0.413917542
150	0.4135728235
151	0.4132715958
152	0.4129096756
153	0.412589277
154	0.4124216237
155	0.4121065646
156	0.4120626035
157	0.4117507208
158	0.4113698187
159	0.4110188594
160	0.4108836291
161	0.4107909431
162	0.4104470626
163	0.4100848445
164	0.4099596245
165	0.409637129
166	0.4094338859
167	0.4090584913
168	0.4087466397
169	0.4082890337
170	0.4079283892
171	0.4076603061
172	0.4072847468
